frameNo,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17
10,273.61920166015625,281.4504089355469,277.94140625,268.4921569824219,257.7712097167969,272.81158447265625,228.95660400390625,284.33001708984375,229.67697143554688,284.33001708984375,338.4520568847656,298.72808837890625,229.67697143554688,357.7601318359375,421.2939758300781,245.45526123046875,155.4794158935547,413.9125671386719,56.78945541381836,483.0232238769531,56.78945541381836,483.7431335449219,355.74078369140625,503.90045166015625,281.5432434082031,501.02081298828125,325.4854736328125,680.99658203125,190.05690002441406,578.0504150390625,282.26361083984375,647.8810424804688,282.26361083984375,647.8810424804688
11,280.54217529296875,275.150390625,282.7029724121094,265.0767517089844,264.6964111328125,271.55267333984375,229.403564453125,278.028564453125,230.84408569335938,276.5894775390625,229.403564453125,357.1785583496094,335.2821350097656,299.61492919921875,149.45443725585938,414.7422180175781,420.2730712890625,245.6490478515625,50.77849578857422,478.0621643066406,492.29931640625,185.2072296142578,354.0089416503906,503.9657897949219,280.54217529296875,501.8071594238281,323.7579345703125,683.8521118164062,192.67019653320312,580.9571533203125,276.2206115722656,642.8380737304688,280.54217529296875,642.8380737304688
12,276.98101806640625,271.47271728515625,281.3048095703125,260.6752624511719,261.1271057128906,268.5933837890625,232.30178833007812,277.2313537597656,233.7430419921875,277.2313537597656,341.8379821777344,295.9469299316406,341.8379821777344,298.1064453125,141.50201416015625,413.2792663574219,424.7107849121094,244.11915588378906,46.378448486328125,469.4260559082031,47.81971740722656,468.7062072753906,352.6474914550781,503.9779052734375,278.42230224609375,501.81842041015625,323.8221740722656,681.05615234375,187.62254333496094,581.7196044921875,280.5841979980469,647.22412109375,282.02545166015625,647.22412109375
13,285.131103515625,270.4319152832031,286.5729675292969,255.30821228027344,269.27044677734375,261.0696105957031,236.82823181152344,272.5924377441406,238.9910430908203,271.87225341796875,231.78167724609375,349.6512756347656,342.0852355957031,299.2389221191406,146.71095275878906,402.94427490234375,426.4350280761719,248.1064453125,37.84926223754883,463.4391174316406,38.5702018737793,463.4391174316406,282.9682922363281,503.7689208984375,356.5039978027344,504.4891052246094,321.1780090332031,679.491943359375,322.6199035644531,677.3313598632812,277.9217224121094,647.80419921875,282.24737548828125,647.083984375
14,286.6437683105469,270.0251770019531,290.96856689453125,257.7918395996094,270.7861633300781,263.5487060546875,305.38458251953125,257.0722351074219,241.95411682128906,272.18402099609375,344.30780029296875,302.4076232910156,235.4669189453125,344.14495849609375,427.1998291015625,257.0722351074219,141.76287841796875,400.2745056152344,39.40921401977539,449.92755126953125,40.85081481933594,449.92755126953125,347.19097900390625,509.6551208496094,274.3901672363281,501.0198059082031,324.1253662109375,681.6417236328125,187.1732940673828,582.3356323242188,272.94854736328125,643.5023803710938,273.6693420410156,644.2220458984375
15,286.9261169433594,269.11993408203125,290.5288391113281,256.88421630859375,270.3536682128906,263.3619384765625,305.6602478027344,256.1644592285156,241.53192138671875,272.71868896484375,344.569580078125,302.2283630371094,234.32652282714844,346.852783203125,426.71148681640625,256.1644592285156,142.09701538085938,399.3944091796875,39.77992630004883,449.7768859863281,41.94155502319336,449.7768859863281,347.4517517089844,509.5159606933594,274.6769104003906,500.87896728515625,324.3943786621094,682.255615234375,186.77069091796875,582.2105712890625,272.5152893066406,644.1089477539062,273.95635986328125,644.8287353515625
16,304.5805969238281,272.806640625,308.9011535644531,259.85565185546875,293.7791442871094,261.294677734375,255.6140594482422,263.4531555175781,316.10211181640625,259.85565185546875,238.33175659179688,336.1226806640625,358.5877685546875,309.5011901855469,143.99917602539062,374.2561950683594,440.6787414550781,274.9651794433594,28.783824920654297,411.67022705078125,503.32708740234375,208.0516357421875,276.496826171875,502.3272399902344,349.9466247558594,508.0832824707031,181.4441680908203,578.5942993164062,324.7432556152344,663.4954223632812,259.21453857421875,640.4713745117188,285.85809326171875,798.7614135742188
17,310.64263916015625,265.36309814453125,314.2472839355469,253.84210205078125,299.8287048339844,259.60260009765625,255.13108825683594,262.48284912109375,320.0147399902344,260.3226623535156,237.10784912109375,330.1686706542969,357.5030517578125,310.72698974609375,140.5033416748047,365.45172119140625,441.13079833984375,285.52484130859375,12.898874282836914,401.454833984375,507.4563293457031,211.3584442138672,273.1543273925781,504.4237060546875,348.1309509277344,510.9042663574219,178.71258544921875,579.3101196289062,320.73565673828125,664.9974975585938,265.2240905761719,648.43603515625,284.6891784667969,795.3286743164062
18,316.997802734375,257.6966247558594,322.76397705078125,246.1818389892578,302.58233642578125,246.1818389892578,272.3098449707031,254.81793212890625,328.5301513671875,251.93922424316406,237.71273803710938,326.7853698730469,361.68572998046875,310.23284912109375,129.5967559814453,354.8526611328125,442.4123229980469,303.0361022949219,32.292381286621094,372.1248474121094,513.048095703125,226.75059509277344,263.6605529785156,508.14337158203125,344.3871765136719,511.0220642089844,169.23928833007812,583.7091674804688,319.8808898925781,668.6307983398438,265.10211181640625,652.0782470703125,289.6084289550781,795.2935180664062
19,316.2802429199219,251.0563507080078,326.3731384277344,238.8204803466797,301.1408996582031,238.8204803466797,336.4660339355469,249.61683654785156,274.466796875,250.33657836914062,361.69830322265625,312.9555358886719,239.86256408691406,322.3124084472656,439.5578308105469,312.2358093261719,133.8871307373047,346.064453125,510.20806884765625,246.01805114746094,52.42300796508789,358.3003234863281,337.18695068359375,513.7681274414062,259.32745361328125,506.5705261230469,317.7220764160156,670.6754150390625,171.37503051757812,585.743896484375,257.8856201171875,645.48388671875,285.2806091308594,801.67138671875
